Subject,Start Date,All Day Event,Description
春学期開始,04/01/2021,True,
オリエンテーション,04/01/2021,True,
入学式,04/02/2021,True,
オリエンテーション,04/03/2021,True,
オリエンテーション,04/05/2021,True,
春セメスター授業開始,04/06/2021,True,
祝日授業日（昭和の日）,04/29/2021,True,
休日（憲法記念日）,05/03/2021,True,
休日（みどりの日）,05/04/2021,True,
休日（こどもの日）,05/05/2021,True,
祝日予備日（海の日）,07/22/2021,True,
祝日予備日（スポーツの日）,07/23/2021,True,
春セメスター授業終了,07/26/2021,True,
夏期休暇開始,08/01/2021,True,
夏集中講義（第1週）開始,08/23/2021,True,
夏集中講義（第1週）終了,08/28/2021,True,
夏集中講義（第2週）開始,08/30/2021,True,
春学期修了合否発表日（修士・専門職）・成績発表日,09/03/2021,True,
夏集中講義（第2週）終了,09/04/2021,True,
夏集中科目（Ⅰ・Ⅱ・Ⅲ）成績発表日 ※1,09/17/2021,True,
秋季学位授与式（修士・専門職）,09/23/2021,True,
オリエンテーション,09/24/2021,True,
秋季入学式,09/25/2021,True,
夏期休暇終了,09/25/2021,True,
春学期終了,09/25/2021,True,
秋学期開始,09/26/2021,True,
秋セメスター授業開始,09/26/2021,True,
秋季学位授与式（課程博士）,10/02/2021,True,
祝日授業日（文化の日）,11/03/2021,True,
祝日授業日（勤労感謝の日）,11/23/2021,True,
冬期休暇開始,12/26/2021,True,
冬期休暇終了,01/05/2022,True,
秋セメスター授業再開,01/06/2022,True,
休日（成人の日）,01/10/2022,True,
秋セメスター授業終了,01/24/2022,True,
春期休暇開始,02/01/2022,True,
秋学期修了合否発表日（修士・専門職）・成績発表日,03/04/2022,True,
冬集中科目成績発表日,03/18/2022,True,
学位授与式（修士・専門職）（衣笠）,03/20/2022,True,
学位授与式（修士・専門職）（朱雀・OIC）／春分の日,03/21/2022,True,
学位授与式（修士・専門職）（BKC）,03/22/2022,True,
学位授与式（課程博士・論文博士）,03/26/2022,True,
春期休暇終了,03/31/2022,True,
秋学期終了,03/31/2022,True,
